Top Text,Bottom Text,V humor,V comp,S humor,S comp,J humor,J comp,M humor,M comp,humor avg,comp avg
STUDIES MATERIALS SCIENCE,DOESN'T CRACK UNDER PRESSURE,4,3,0,0,2,4,3,4,2.25,2.75
NOT WORKING IN RETAIL FOR FIRST TIME IN YEARS,GET TO SPEND THANKSGIVING WITH FAMILY,2,3,0,0,1,3,1,3,1,2.25
GOT INTO AN ARGUMENT,THAT I HAVE PRACTICED IN THE SHOWER,3,3,0,0,3,4,3,4,2.25,2.75
USED DEBIT CARD,APPROVED,2,4,0,0,1,4,2,4,1.25,3
GOT THE COURAGE TO TELL HER I LOVE HER,SHE LOVES ME TOO,2,4,0,0,2,5,1,5,1.25,3.5
ASKED GIRLFRIEND WHERE SHE WANTED TO EAT,SHE GAVE A DECISIVE ANSWER,4,5,0,0,4,4,3,4,2.75,3.25
STAFF MEETING,CANCELLED,4,3,0,0,4,5,4,5,3,3.25
GF SAYS HER FEET ARE COLD AND WISHES SHE HAD A PAIR OF SOCKS,I JUST HAPPEN TO HAVE A PAIR IN MY JACKET,2,2,0,0,1,4,2,4,1.25,2.5
COLORED A PICTURE OF A HORSE,MADE IT TO THE FRIDGE,4,3,0,0,1,4,3,4,2,2.75
PRETENDED TO BE ASLEEP IN CAR,GOT CARRIED INSIDE,2,4,0,0,3,5,3,4,2,3.25
RAN OUT OF CHIPS AND SALSA,AT THE SAME TIME,2,4,0,0,2,4,3,5,1.75,3.25
PUZZLE SAID 2-4 YEARS,ONLY TOOK 1,5,5,0,0,2,4,5,5,3,3.5
DIDN'T RUN INTO ANYONE I KNEW TODAY,CAN WEAR SAME OUTFIT TOMORROW,2,4,0,0,3,4,3,4,2,3
WALKED INTO A ROOM,REMEMBERED WHAT I WANTED TO DO,2,4,0,0,4,5,2,5,2,3.5
MADE A MISTAKE IN A TEXT MESSAGE,MESSAGE FAILED TO SEND,3,3,0,0,3,4,3,4,2.25,2.75
FELL ASLEEP WITH LAPTOP ON EDGE OF BED,DIDN'T KNOCK IT OFF,3,3,0,0,2,4,2,4,1.75,2.75
BROUGHT A VEGAN DISH TO A POTLUCK,NOBODY REALIZED IT WAS DAIRY FREE,3,3,0,0,1,4,1,4,1.25,2.75
BUY A USED CAR,IT'S AN ALIEN ROBOT,5,1,0,0,1,2,4,2,2.5,1.25
COMPLETED SELF-EVALUATION,FOUND OUT I AM THE GREATEST,4,4,0,0,4,5,4,4,3,3.25
WROTE A REPORT ON MEMES,FOUND THE PERFECT MEME FOR THE INTRODUCTION,1,4,0,0,1,4,2,4,1,3
WOMEN CAN FINALLY VOTE,IT'S NOT ALL ABOUT MEN,2,1,0,0,1,2,1,2,1,1.25
ATE SPAGHETTI WHILE WEARING A WHITE SHIRT,DIDN'T GET SAUCE ON IT,2,3,0,0,1,4,2,4,1.25,2.75
ORDERED A 10 PIECE CHICKEN MCNUGGET,GOT 11,2,5,0,0,2,5,2,5,1.5,3.75
OPENED A WINDOW TO LET A FLY OUT,IT FLEW OUT,1,4,0,0,3,5,1,5,1.25,3.5
DROPPED MY LAPTOP ON THE FLOOR,STILL WORKS,3,3,0,0,1,4,3,4,1.75,2.75
FIRST DENTIST VISIT IN 6 YEARS,NO CAVITIES,2,4,0,0,1,4,2,5,1.25,3.25
DROVE FRIEND TO A JOB INTERVIEW,THEY GAVE ME A JOB TOO,2,5,0,0,1,4,2,4,1.25,3.25
DIDN'T EAT MY VEGGIES,STILL GOT DESSERT,3,3,0,0,3,3,3,5,2.25,2.75
TROMBONE SLIDE SLIPS THROUGH FINGERS,CATCHES IT WITH FOOT,3,1,0,0,2,2,3,4,2,1.75
CALLED INTO TECH SUPPORT,DIDN'T HAVE TO WAIT ON HOLD,3,3,0,0,1,4,2,5,1.5,3
DIDN'T KNOW A QUESTION ON A TEST,ANSWER IS IN ANOTHER QUESTION,2,4,0,0,2,4,4,5,2,3.25
HAD NO JOB,GOT ONE NOW,2,3,0,0,5,5,1,4,2,3
APPLIED FOR DREAM JOB AS A JOKE,GOT THE JOB,2,4,0,0,1,4,2,4,1.25,3
USED THE WHOLE DEODERANT,WITHOUT LOSING OR BREAKING IT,2,2,0,0,2,3,2,3,1.5,2
DID LAUNDRY,ALL SOCKS ACCOUNTED FOR,1,3,0,0,3,4,3,4,1.75,2.75
ACCIDENTALLY HIT SKIP IN PANDORA ON A SONG I REALLY LIKE,SKIP LIMIT REACHED,4,1,0,0,3,2,3,5,2.5,2
FAMILY GOT NEW FURNITURE SO I TOOK THE OLD COUCH,FOUND 5 DOLLARS IN COUCH CHANGE,3,2,0,0,1,3,2,4,1.5,2.25
GOT BLUE SHELLED IN MARIO,STILL IN FIRST PLACE,3,3,0,0,2,4,3,5,2,3
CALLED MY CAT,AND SHE CAME,4,4,0,0,4,5,4,4,3,3.25
LEFT MY BED 20 MINUTES AGO,STILL A WARM SPOT,3,2,0,0,2,3,2,4,1.75,2.25
FORGOT TO SET ALARM,STILL WOKE UP ON TIME,2,4,0,0,1,4,2,4,1.25,3
TURNED OFF THE LIGHTS,DIDN'T STEP ON ANYTHING WHILE WALKING TO MY BED,3,4,0,0,2,5,2,5,1.75,3.5
THOUGHT I ONLY HAD ONE BEER LEFT,TWO LEFT,4,3,0,0,2,5,3,5,2.25,3.25
TOOK OUT GROCERIES FROM THE CAR,IN ONE TRIP,3,2,0,0,2,5,3,5,2,3
BOSS COMES IN OFFICE,I'M ACTUALLY DOING WORK,2,3,0,0,2,4,3,5,1.75,3
THOUGHT TODAY WAS THURSDAY,IT'S FRIDAY,3,5,0,0,3,5,3,5,2.25,3.75
GIVES FEEDBACK,FEEDBACK MATTERS,2,3,0,0,3,4,2,4,1.75,2.75
FORGETS TO BUY FOOD,INVITED OUT TO DINNER AT THE LAST MOMENT,1,3,0,0,2,3,3,4,1.5,2.5
DIVORCED PARENTS,TWICE THE XMAS PRESENTS,2,3,0,0,4,4,3,4,2.25,2.75
LISTENS TO AN OLD CD,STILL REMEMBERS LYRICS,2,4,0,0,1,4,2,4,1.25,3
HAVE TO WEAR A TIE,PERFECT LENGTH ON FIRST TRY,2,3,0,0,1,3,2,5,1.25,2.75
WASHER BROKE,"USED GOOGLE, YOUTUBE, AND AMAZON TO FIX IT MYSELF FOR $3.97",1,3,0,0,1,4,1,4,0.75,2.75
WAKE UP FROM EPIC DREAM,FELL BACK ASLEEP AND CONTINUED DREAM,2,3,0,0,1,4,2,4,1.25,2.75
GF BREAKS UP WITH ME 2 DAYS BEFORE LEAVING ON VACATION,"THE AIRLINE FEELS BAD FOR ME, REFUNDS ME HER TICKET",4,2,0,0,4,4,4,4,3,2.5
PUT SODA IN THE FREEZER TO MAKE IT COOL DOWN FASTER,REMEMBERED,5,2,0,0,5,4,5,5,3.75,2.75
TO BE CONTINUED…,RIGHT NOW,4,4,0,0,5,4,5,4,3.5,3
NOKIA PHONE WENT THROUGH THE WASH,WASHING MACHINE STILL WORKS,5,2,0,0,3,3,5,3,3.25,2
"FORGOT GUY'S NAME, SAID ""WHAT'S UP MAN""",HIS NAME WAS MANNY,5,3,0,0,4,4,4,4,3.25,2.75
"USED ""TROUBLESHOOT PROBLEMS"" ON WIFI",ACTUALLY FIXED MY CONNECTION,2,4,0,0,2,3,3,4,1.75,2.75
GOT AUDITED BY IRS,THEY OWED ME $500,4,3,0,0,4,3,4,4,3,2.5
